contact_nationality,clean_nationality,count,map_nationality
MALAYSIA,MALAYSIA,7300.0,MALAYSIA
SINGAPORE,SINGAPORE,154.0,SINGAPORE
CHINA,CHINA,69.0,CHINA
OTHERS,OTHERS,192.0,OTHERS
BANGLADESH,BANGLADESH,8.0,OTHERS
INDONESIA,INDONESIA,9.0,OTHERS
INDIA,INDIA,7.0,OTHERS
JAPAN,JAPAN,5.0,OTHERS
TAIWAN,TAIWAN,5.0,OTHERS
AUSTRALIA,AUSTRALIA,5.0,OTHERS
UNITED KINGDOM,UNITED KINGDOM,5.0,OTHERS
SOUTH AFRICA,SOUTH AFRICA,3.0,OTHERS
CANADA,CANADA,2.0,OTHERS
SOUTH KOREA,SOUTH KOREA,2.0,OTHERS
VIETNAM,VIETNAM,1.0,OTHERS
CAMBODIA,CAMBODIA,1.0,OTHERS
MALAWI,MALAWI,1.0,OTHERS
UNITED STATE OF AMERICA,UNITED STATE OF AMERICA,1.0,OTHERS
BRITISH,BRITISH,1.0,OTHERS
ZAMBIA ,ZAMBIA ,1.0,OTHERS
SWITZERLAND,SWITZERLAND,1.0,OTHERS
MAURITIUS,MAURITIUS,1.0,OTHERS
HONG KONG S.A.R.,HONG KONG S.A.R.,1.0,OTHERS
GERMANY,GERMANY,1.0,OTHERS
PAKISTAN,PAKISTAN,1.0,OTHERS
SRI LANKA,SRI LANKA,23.0,OTHERS
Undefined,UNDEFINED,26.0,OTHERS
,ITALY,,OTHERS
,PHILIPPINES,,OTHERS
,ZAMBIA,,OTHERS
,NEW ZEALAND,,OTHERS
,NORWAY,,OTHERS
