customer_race,clean_race,count,map_race
Bumiputra,BUMIPUTRA,261.0,BUMIPUTRA
Kadazan,KADAZAN,9.0,BUMIPUTRA
Bidayuh,BIDAYUH,4.0,BUMIPUTRA
Sino-Kadazan,SINO-KADAZAN,1.0,BUMIPUTRA
Chinese,CHINESE,5539.0,CHINESE
Chinese Muslim,CHINESE MUSLIM,1.0,CHINESE
Foreigner,FOREIGNER,94.0,FOREIGNER
Eurasian,EURASIAN,5.0,FOREIGNER
Vietnamese,VIETNAMESE,1.0,FOREIGNER
Indian,INDIAN,580.0,INDIAN
Punjabi,PUNJABI,11.0,INDIAN
Malay,MALAY,1083.0,MALAY
Undefined,UNDEFINED,189.0,OTHERS
Others,OTHERS,47.0,OTHERS
Dutch,DUTCH,,FOREIGNER
Philippines,PHILIPPINES,,FOREIGNER
,NOT APPLICABLE,,NOT APPLICABLE

